book,portion,torha portion,riddle number,riddle,answer
Joshua,Joshua,Bereishit,1,את מה נשאו הכהנים כשבתוך הירדן היו עומדים?,ארון הברית 
Joshua,Joshua,Bereishit,2,לאן באו שני המרגלים שיהושע שלח מן השִטים?,בית אשה זונה
Joshua,Joshua,Bereishit,3,איפה היו ערוכות הפִשתים ששם החביאה רחב את המרגלים?,גג
Joshua,Joshua,Bereishit,4,לאן יצאו הרודפים לנסות להשיג את המרגלים?,דרך הירדן
Joshua,Joshua,Bereishit,5,לאן אמרה רחב למרגלים שאליהם ללכת לשלשה ימים?,ההרה
Joshua,Joshua,Bereishit,6,מה ציוה ה' את יהושע שיעסוק בספר יומם ולילה?,והגית בו
Joshua,Joshua,Bereishit,7,איזה ארץ נשבע ה' שיתן לאבותם אבל גם נשבע לבלתי הראותם?,זבת חלב ודבש
Joshua,Joshua,Bereishit,8,עם מה יהושע מל את הזכרים ואז את הפסח היו עושים?,חרבות צֻרים
Joshua,Joshua,Bereishit,9,מתי עלתה רחב למרגלים והם החליפו עמה דברים?,טרם ישכבון
Joshua,Joshua,Bereishit,10,שם המנהיג של ישראל החדש שהכניס לארץ ואותה כבש?,יהושע
Joshua,Joshua,Bereishit,11,מי עמדו בתוך הירדן לפני ישראל הלכו הָכֵן?,כהנים
Joshua,Joshua,Bereishit,12,מה ליהושע אמר המלאך כששאלו האם מאויבינו הלך?,לא
Joshua,Joshua,Bereishit,13,מה שבת ממחרת הפסח אחרי שעומר הביאו בזבח?,מן
Joshua,Joshua,Bereishit,14,מה המרגלים אמרו שהם יהיו אם משפחתה של רחב מהדלת יצאו?,נקִים
Joshua,Joshua,Bereishit,15,מה עשו לשער האנשים שיצאו לרדוף אחרי המרגלים?,סגרו
Joshua,Joshua,Bereishit,16,מתי עלו ישראל מהירדן ואז הכהנים עמדו הָכֵן?,עשור לחדש הראשוון
Joshua,Joshua,Bereishit,17,איזה חג חגגו ישראל אחרי שנימולו במצות האל?,פסח
Joshua,Joshua,Bereishit,18,מה השוטרים אמרו לעם שיכינו כי עוד מעט את הירדן יעבורו?,צֵדָה
Joshua,Joshua,Bereishit,19,היכן עברו השוטרים לפני שנסעו מהשִטים?,קרב המחנה
Joshua,Joshua,Bereishit,20,איך נקראים אותם אנשים שאחרי המרגלים הם מחפשים?,רֹדפים
Joshua,Joshua,Bereishit,21,כמה ימים אמרו השוטרים שנשארו לעם לפני שהם עוברים?,שלֹשה
Joshua,Joshua,Bereishit,22,איך נקרא הסמל שעל החלון כמו דגל?,תִקוַת השְני 
